#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
Grpel2	Dnaja1	2102724	2097750	ENSMUSP00000053440	ENSMUSP00000030118	0.454	0.000	0.000	0.000	0.444	0.270	0.000	0.582	0.897
Hspa1b	Grpel1	2113648	2098073	ENSMUSP00000128525	ENSMUSP00000031099	0.454	0.000	0.000	0.000	0.638	0.300	0.000	0.929	0.989
Grpel1	Hsp90ab1	2098073	2096071	ENSMUSP00000031099	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.443	0.000	0.000	0.590	0.761
Hspa9	Dnajc3	2096219	2095613	ENSMUSP00000025217	ENSMUSP00000022734	0.454	0.000	0.000	0.000	0.276	0.230	0.000	0.340	0.777
Nr3c1	Hspa8	2096253	2094310	ENSMUSP00000025300	ENSMUSP00000015800	0.000	0.000	0.000	0.000	0.000	0.085	0.000	0.526	0.547
Hspa2	Catsper1	2106962	2101285	ENSMUSP00000079306	ENSMUSP00000045430	0.000	0.000	0.000	0.000	0.000	0.565	0.900	0.102	0.957
Hsp90aa1	Cdc37	2095266	2094668	ENSMUSP00000021698	ENSMUSP00000019615	0.000	0.000	0.000	0.000	0.087	0.958	0.945	0.972	0.999
Stip1	Hspa9	2096458	2096219	ENSMUSP00000025918	ENSMUSP00000025217	0.000	0.000	0.000	0.000	0.453	0.298	0.000	0.419	0.763
Hsp90aa1	Hspa8	2095266	2094310	ENSMUSP00000021698	ENSMUSP00000015800	0.000	0.000	0.000	0.000	0.621	0.725	0.900	0.991	0.999
Hsph1	Dnaja1	2106054	2097750	ENSMUSP00000074392	ENSMUSP00000030118	0.454	0.000	0.341	0.000	0.771	0.358	0.000	0.750	0.985
Hspa9	Dnajb1	2096219	2093717	ENSMUSP00000025217	ENSMUSP00000005620	0.454	0.000	0.463	0.000	0.276	0.230	0.000	0.577	0.920
Grpel1	Dnaja1	2098073	2097750	ENSMUSP00000031099	ENSMUSP00000030118	0.454	0.000	0.000	0.000	0.444	0.270	0.000	0.472	0.867
Hspa2	Hspa8	2106962	2094310	ENSMUSP00000079306	ENSMUSP00000015800	0.000	0.000	0.527	0.987	0.000	0.642	0.000	0.558	0.646
Stip1	Clpb	2096458	2093302	ENSMUSP00000025918	ENSMUSP00000001884	0.000	0.000	0.000	0.000	0.376	0.532	0.000	0.652	0.892
Grpel1	Hsp90aa1	2098073	2095266	ENSMUSP00000031099	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.443	0.000	0.000	0.595	0.770
Cdc37	Hspa8	2094668	2094310	ENSMUSP00000019615	ENSMUSP00000015800	0.000	0.000	0.000	0.000	0.113	0.116	0.000	0.292	0.410
Hsph1	Stip1	2106054	2096458	ENSMUSP00000074392	ENSMUSP00000025918	0.000	0.000	0.000	0.000	0.969	0.638	0.000	0.796	0.997
Hspa9	Hsp90ab1	2096219	2096071	ENSMUSP00000025217	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.616	0.790	0.000	0.821	0.985
Dnajc3	Clpb	2095613	2093302	ENSMUSP00000022734	ENSMUSP00000001884	0.218	0.000	0.000	0.000	0.260	0.286	0.000	0.226	0.637
Stip1	Cdc37	2096458	2094668	ENSMUSP00000025918	ENSMUSP00000019615	0.000	0.000	0.000	0.000	0.164	0.547	0.000	0.706	0.881
Hsph1	Cdc37	2106054	2094668	ENSMUSP00000074392	ENSMUSP00000019615	0.000	0.000	0.000	0.000	0.098	0.167	0.000	0.539	0.632
Hsf1	Dnajb1	2105742	2093717	ENSMUSP00000072617	ENSMUSP00000005620	0.000	0.000	0.000	0.000	0.000	0.134	0.900	0.934	0.994
Dnaja1	Stip1	2097750	2096458	ENSMUSP00000030118	ENSMUSP00000025918	0.000	0.000	0.000	0.000	0.277	0.623	0.000	0.507	0.857
Hspa2	Dnajb1	2106962	2093717	ENSMUSP00000079306	ENSMUSP00000005620	0.454	0.000	0.497	0.000	0.276	0.352	0.800	0.750	0.992
Grpel2	Hspa9	2102724	2096219	ENSMUSP00000053440	ENSMUSP00000025217	0.454	0.000	0.000	0.000	0.638	0.569	0.900	0.936	0.999
Hspa8	Akt1	2094310	2093284	ENSMUSP00000015800	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.000	0.105	0.000	0.746	0.769
Dnaja1	Hsp90ab1	2097750	2096071	ENSMUSP00000030118	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.621	0.721	0.000	0.839	0.982
Hsp90aa1	Clpb	2095266	2093302	ENSMUSP00000021698	ENSMUSP00000001884	0.091	0.000	0.000	0.000	0.458	0.558	0.000	0.825	0.958
Grpel2	Hsp90ab1	2102724	2096071	ENSMUSP00000053440	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.443	0.000	0.000	0.593	0.769
Stip1	Hspa8	2096458	2094310	ENSMUSP00000025918	ENSMUSP00000015800	0.000	0.000	0.000	0.000	0.218	0.905	0.000	0.812	0.985
Hsp90ab1	Dnajc3	2096071	2095613	ENSMUSP00000024739	ENSMUSP00000022734	0.000	0.000	0.000	0.000	0.621	0.198	0.000	0.442	0.819
Hspa2	Stip1	2106962	2096458	ENSMUSP00000079306	ENSMUSP00000025918	0.000	0.000	0.000	0.000	0.218	0.595	0.000	0.580	0.858
Grpel2	Clpb	2102724	2093302	ENSMUSP00000053440	ENSMUSP00000001884	0.387	0.000	0.000	0.000	0.388	0.323	0.000	0.425	0.834
Hspa1b	Clpb	2113648	2093302	ENSMUSP00000128525	ENSMUSP00000001884	0.386	0.000	0.000	0.000	0.321	0.297	0.000	0.873	0.959
Hsf1	Hspa8	2105742	2094310	ENSMUSP00000072617	ENSMUSP00000015800	0.000	0.000	0.000	0.000	0.000	0.254	0.900	0.882	0.990
Hspa2	Dnajc3	2106962	2095613	ENSMUSP00000079306	ENSMUSP00000022734	0.454	0.000	0.000	0.000	0.276	0.230	0.800	0.382	0.956
Dnaja1	Hspa9	2097750	2096219	ENSMUSP00000030118	ENSMUSP00000025217	0.454	0.000	0.469	0.000	0.276	0.270	0.000	0.470	0.906
Hsph1	Akt1	2106054	2093284	ENSMUSP00000074392	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.000	0.166	0.000	0.474	0.553
Hspa2	Akt1	2106962	2093284	ENSMUSP00000079306	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.000	0.105	0.000	0.584	0.621
Stip1	Nr3c1	2096458	2096253	ENSMUSP00000025918	ENSMUSP00000025300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.538	0.538
Dnajb3	Hspa8	2112276	2094310	ENSMUSP00000112703	ENSMUSP00000015800	0.454	0.000	0.508	0.000	0.276	0.230	0.000	0.574	0.926
Dnaja1	Clpb	2097750	2093302	ENSMUSP00000030118	ENSMUSP00000001884	0.218	0.000	0.000	0.000	0.260	0.378	0.000	0.577	0.831
Hsp90ab1	Cdc37	2096071	2094668	ENSMUSP00000024739	ENSMUSP00000019615	0.000	0.000	0.000	0.000	0.087	0.910	0.891	0.974	0.999
Hspa2	Grpel1	2106962	2098073	ENSMUSP00000079306	ENSMUSP00000031099	0.454	0.000	0.000	0.000	0.638	0.300	0.000	0.923	0.988
Hsf1	Nr3c1	2105742	2096253	ENSMUSP00000072617	ENSMUSP00000025300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.415	0.414
Cdc37	Akt1	2094668	2093284	ENSMUSP00000019615	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.081	0.430	0.800	0.308	0.917
Hspa1b	Stip1	2113648	2096458	ENSMUSP00000128525	ENSMUSP00000025918	0.000	0.000	0.000	0.000	0.218	0.595	0.000	0.627	0.874
Hsp90aa1	Akt1	2095266	2093284	ENSMUSP00000021698	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.000	0.840	0.953	0.988	0.999
Hspa1b	Sugt1	2113648	2102636	ENSMUSP00000128525	ENSMUSP00000052942	0.000	0.000	0.000	0.000	0.182	0.663	0.000	0.494	0.850
Dnajb1	Clpb	2093717	2093302	ENSMUSP00000005620	ENSMUSP00000001884	0.218	0.000	0.000	0.000	0.424	0.364	0.000	0.460	0.828
Hspa2	Hsp90ab1	2106962	2096071	ENSMUSP00000079306	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.387	0.725	0.000	0.820	0.967
Hspa1b	Hsp90aa1	2113648	2095266	ENSMUSP00000128525	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.441	0.725	0.900	0.980	0.999
Hspa1b	Dnajb1	2113648	2093717	ENSMUSP00000128525	ENSMUSP00000005620	0.454	0.000	0.498	0.000	0.697	0.352	0.900	0.790	0.998
Nr3c1	Hsp90ab1	2096253	2096071	ENSMUSP00000025300	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.000	0.954	0.494	0.971	0.999
Grpel1	Dnajc3	2098073	2095613	ENSMUSP00000031099	ENSMUSP00000022734	0.454	0.000	0.000	0.000	0.444	0.270	0.000	0.243	0.809
Dnajb3	Sugt1	2112276	2102636	ENSMUSP00000112703	ENSMUSP00000052942	0.000	0.000	0.000	0.000	0.279	0.000	0.000	0.333	0.498
Grpel2	Dnajb1	2102724	2093717	ENSMUSP00000053440	ENSMUSP00000005620	0.454	0.000	0.000	0.000	0.444	0.270	0.000	0.535	0.885
Hsf1	Hsp90aa1	2105742	2095266	ENSMUSP00000072617	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.000	0.575	0.900	0.992	0.999
Sugt1	Dnajb1	2102636	2093717	ENSMUSP00000052942	ENSMUSP00000005620	0.000	0.000	0.000	0.000	0.279	0.000	0.000	0.333	0.498
Hsph1	Grpel2	2106054	2102724	ENSMUSP00000074392	ENSMUSP00000053440	0.454	0.000	0.000	0.000	0.638	0.456	0.000	0.941	0.993
Grpel1	Hspa9	2098073	2096219	ENSMUSP00000031099	ENSMUSP00000025217	0.454	0.000	0.000	0.000	0.693	0.859	0.900	0.953	0.999
Dnaja1	Hspa8	2097750	2094310	ENSMUSP00000030118	ENSMUSP00000015800	0.454	0.000	0.499	0.000	0.526	0.434	0.000	0.849	0.987
Dnajc3	Dnajb1	2095613	2093717	ENSMUSP00000022734	ENSMUSP00000005620	0.000	0.000	0.000	0.634	0.000	0.165	0.800	0.906	0.883
Sugt1	Hspa8	2102636	2094310	ENSMUSP00000052942	ENSMUSP00000015800	0.000	0.000	0.000	0.000	0.182	0.663	0.000	0.495	0.852
Stip1	Dnajb1	2096458	2093717	ENSMUSP00000025918	ENSMUSP00000005620	0.000	0.000	0.000	0.000	0.842	0.229	0.000	0.624	0.951
Hsph1	Hspa9	2106054	2096219	ENSMUSP00000074392	ENSMUSP00000025217	0.000	0.000	0.509	0.749	0.690	0.000	0.000	0.664	0.778
Hspa8	Clpb	2094310	2093302	ENSMUSP00000015800	ENSMUSP00000001884	0.386	0.000	0.000	0.000	0.321	0.297	0.000	0.881	0.961
Hspa2	Hsf1	2106962	2105742	ENSMUSP00000079306	ENSMUSP00000072617	0.000	0.000	0.000	0.000	0.000	0.254	0.000	0.805	0.852
Dnaja1	Dnajb1	2097750	2093717	ENSMUSP00000030118	ENSMUSP00000005620	0.000	0.000	0.500	0.805	0.522	0.438	0.000	0.801	0.790
Hsph1	Hsp90aa1	2106054	2095266	ENSMUSP00000074392	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.889	0.755	0.900	0.934	0.999
Grpel2	Hsp90aa1	2102724	2095266	ENSMUSP00000053440	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.443	0.000	0.000	0.633	0.791
Hspa2	Hsp90aa1	2106962	2095266	ENSMUSP00000079306	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.387	0.725	0.000	0.836	0.970
Hsf1	Hsp90ab1	2105742	2096071	ENSMUSP00000072617	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.000	0.910	0.900	0.992	0.999
Hsp90ab1	Dnajb1	2096071	2093717	ENSMUSP00000024739	ENSMUSP00000005620	0.000	0.000	0.000	0.000	0.644	0.198	0.900	0.949	0.998
Hspa2	Sugt1	2106962	2102636	ENSMUSP00000079306	ENSMUSP00000052942	0.000	0.000	0.000	0.000	0.182	0.663	0.000	0.494	0.848
Dnajb3	Dnaja1	2112276	2097750	ENSMUSP00000112703	ENSMUSP00000030118	0.000	0.000	0.510	0.745	0.108	0.202	0.000	0.462	0.425
Hspa1b	Grpel2	2113648	2102724	ENSMUSP00000128525	ENSMUSP00000053440	0.454	0.000	0.000	0.000	0.638	0.300	0.000	0.939	0.990
Hspa1b	Hsph1	2113648	2106054	ENSMUSP00000128525	ENSMUSP00000074392	0.000	0.000	0.516	0.788	0.575	0.299	0.000	0.968	0.784
Hsp90ab1	Akt1	2096071	2093284	ENSMUSP00000024739	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.000	0.675	0.906	0.987	0.999
Hsf1	Stip1	2105742	2096458	ENSMUSP00000072617	ENSMUSP00000025918	0.000	0.000	0.000	0.000	0.000	0.165	0.000	0.370	0.464
Nr3c1	Hsp90aa1	2096253	2095266	ENSMUSP00000025300	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.000	0.166	0.494	0.969	0.986
Grpel2	Hspa8	2102724	2094310	ENSMUSP00000053440	ENSMUSP00000015800	0.454	0.000	0.000	0.000	0.638	0.300	0.000	0.931	0.989
Dnajb3	Hsph1	2112276	2106054	ENSMUSP00000112703	ENSMUSP00000074392	0.454	0.000	0.437	0.000	0.276	0.230	0.000	0.439	0.886
Hsf1	Akt1	2105742	2093284	ENSMUSP00000072617	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.000	0.117	0.000	0.703	0.733
Hsph1	Hspa8	2106054	2094310	ENSMUSP00000074392	ENSMUSP00000015800	0.000	0.000	0.516	0.786	0.723	0.299	0.000	0.805	0.853
Grpel1	Hspa8	2098073	2094310	ENSMUSP00000031099	ENSMUSP00000015800	0.454	0.000	0.000	0.000	0.638	0.300	0.000	0.928	0.989
Nr3c1	Akt1	2096253	2093284	ENSMUSP00000025300	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.000	0.165	0.000	0.606	0.656
Hspa1b	Hsp90ab1	2113648	2096071	ENSMUSP00000128525	ENSMUSP00000024739	0.000	0.000	0.000	0.000	0.387	0.872	0.900	0.979	0.999
Sugt1	Dnaja1	2102636	2097750	ENSMUSP00000052942	ENSMUSP00000030118	0.000	0.000	0.000	0.000	0.189	0.389	0.000	0.350	0.649
Dnajb3	Clpb	2112276	2093302	ENSMUSP00000112703	ENSMUSP00000001884	0.218	0.000	0.000	0.000	0.260	0.286	0.000	0.420	0.728
Sugt1	Clpb	2102636	2093302	ENSMUSP00000052942	ENSMUSP00000001884	0.000	0.000	0.000	0.000	0.394	0.372	0.000	0.632	0.848
Dnajb3	Hspa2	2112276	2106962	ENSMUSP00000112703	ENSMUSP00000079306	0.454	0.000	0.508	0.000	0.276	0.230	0.000	0.937	0.989
Hspa1b	Dnajb3	2113648	2112276	ENSMUSP00000128525	ENSMUSP00000112703	0.454	0.000	0.509	0.000	0.276	0.230	0.000	0.441	0.903
Nr3c1	Cdc37	2096253	2094668	ENSMUSP00000025300	ENSMUSP00000019615	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.473	0.486
Hsph1	Hsf1	2106054	2105742	ENSMUSP00000074392	ENSMUSP00000072617	0.000	0.000	0.000	0.000	0.116	0.176	0.000	0.744	0.802
Hspa9	Hsp90aa1	2096219	2095266	ENSMUSP00000025217	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.555	0.790	0.000	0.827	0.983
Grpel1	Clpb	2098073	2093302	ENSMUSP00000031099	ENSMUSP00000001884	0.387	0.000	0.000	0.000	0.388	0.323	0.000	0.425	0.834
Dnajb3	Hspa9	2112276	2096219	ENSMUSP00000112703	ENSMUSP00000025217	0.454	0.000	0.493	0.000	0.276	0.230	0.000	0.344	0.880
Dnajc3	Hspa8	2095613	2094310	ENSMUSP00000022734	ENSMUSP00000015800	0.454	0.000	0.000	0.000	0.276	0.230	0.800	0.471	0.962
Hspa8	Dnajb1	2094310	2093717	ENSMUSP00000015800	ENSMUSP00000005620	0.454	0.000	0.495	0.000	0.482	0.372	0.900	0.938	0.999
Dnajc3	Hsp90aa1	2095613	2095266	ENSMUSP00000022734	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.621	0.198	0.000	0.425	0.814
Dnaja1	Hsp90aa1	2097750	2095266	ENSMUSP00000030118	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.754	0.721	0.000	0.835	0.988
Dnajb3	Dnajb1	2112276	2093717	ENSMUSP00000112703	ENSMUSP00000005620	0.000	0.000	0.503	0.772	0.000	0.270	0.000	0.523	0.426
Stip1	Dnajc3	2096458	2095613	ENSMUSP00000025918	ENSMUSP00000022734	0.000	0.000	0.000	0.000	0.137	0.229	0.000	0.159	0.406
Hspa2	Grpel2	2106962	2102724	ENSMUSP00000079306	ENSMUSP00000053440	0.454	0.000	0.000	0.000	0.638	0.300	0.000	0.923	0.988
Grpel1	Dnajb1	2098073	2093717	ENSMUSP00000031099	ENSMUSP00000005620	0.454	0.000	0.000	0.000	0.444	0.270	0.000	0.428	0.856
Dnajb3	Grpel2	2112276	2102724	ENSMUSP00000112703	ENSMUSP00000053440	0.454	0.000	0.000	0.000	0.444	0.270	0.000	0.428	0.856
Hsph1	Dnajc3	2106054	2095613	ENSMUSP00000074392	ENSMUSP00000022734	0.454	0.000	0.000	0.000	0.323	0.230	0.000	0.431	0.825
Hspa9	Akt1	2096219	2093284	ENSMUSP00000025217	ENSMUSP00000001780	0.000	0.000	0.000	0.000	0.000	0.164	0.000	0.855	0.873
Hspa1b	Dnajc3	2113648	2095613	ENSMUSP00000128525	ENSMUSP00000022734	0.454	0.000	0.000	0.000	0.276	0.230	0.800	0.350	0.954
Sugt1	Hsp90aa1	2102636	2095266	ENSMUSP00000052942	ENSMUSP00000021698	0.000	0.000	0.000	0.000	0.963	0.958	0.800	0.950	0.999
Dnajb3	Stip1	2112276	2096458	ENSMUSP00000112703	ENSMUSP00000025918	0.000	0.000	0.000	0.000	0.277	0.229	0.000	0.333	0.595
